message,is_spam
Ganhe um ingresso grátis agora!,1
"Parabéns, você ganhou um prêmio!",1
Resgate sua recompensa agora,1
Oferta exclusiva para você!,1
Clique aqui para ganhar seu prêmio,1
Você foi selecionado para um prêmio especial,1
Participe do sorteio e ganhe agora!,1
Seu voucher gratuito está esperando!,1
Oferta imperdível: desconto de 90% hoje!,1
"Ganhe prêmios instantâneos, clique agora!",1
"Você foi premiado, reivindique seu presente!",1
Resgate seu cupom antes que expire!,1
"Dinheiro fácil, clique para saber mais!",1
Descubra como ganhar dinheiro rápido!,1
"Você foi sorteado, veja os detalhes!",1
Clique para ativar sua recompensa grátis!,1
Participe de nossa pesquisa e ganhe prêmios!,1
Ganhe um cartão de presente grátis!,1
"Seu bilhete foi premiado, resgate já!",1
Oferta limitada: ganhe um prêmio exclusivo!,1
Convite especial: receba seu bônus!,1
Seu presente está a um clique!,1
"Parabéns, você é nosso cliente especial!",1
Ganhe recompensas respondendo perguntas!,1
Seja nosso parceiro e ganhe vantagens agora!,1
Me ligue quando puder,0
Reunião às 17h,0
Vamos colocar a conversa em dia em breve,0
Chegarei em casa às 19h,0
"O filme começa às 20h, não se atrase",0
Preciso de ajuda para o projeto,0
Você pode revisar este documento?,0
Vamos agendar a próxima reunião,0
O jantar será na casa do João,0
Não se esqueça da apresentação amanhã,0
As aulas começam na segunda-feira,0
Enviei os relatórios por e-mail,0
Posso te ligar mais tarde?,0
Os resultados serão divulgados hoje,0
Estou a caminho do escritório,0
Você tem alguma dúvida sobre o trabalho?,0
Preciso finalizar o relatório até sexta,0
As férias começam em dezembro,0
Podemos nos encontrar para discutir o plano?,0
Obrigado pela ajuda no projeto,0
A reunião foi remarcada para terça-feira,0
Qual é o status da entrega?,0
O curso será online este semestre,0
Não se esqueça de enviar os documentos,0
Aproveite seu final de semana!,0
O cliente aprovou a proposta,0
O clima está agradável hoje,0
As crianças adoraram o passeio ao zoológico,0
Fizemos uma reserva no restaurante para sexta,0
Você gostaria de sair para um café?,0
A entrega chegou no prazo combinado,0
Enviei a confirmação para o cliente,0
O evento foi um sucesso,0
Podemos ajustar o cronograma conforme necessário,0
O projeto está progredindo bem,0
Estou disponível para uma reunião na quarta,0
Podemos marcar um almoço amanhã?,0
O relatório está pronto para revisão,0
Os alunos apresentaram excelentes resultados,0
Envie-me o orçamento atualizado,0
A nova política será implementada em breve,0
Estou no aeroporto esperando o voo,0
Podemos trabalhar juntos neste projeto?,0
Os documentos precisam ser assinados até amanhã,0
A viagem foi confirmada para a próxima semana,0
Obrigado pela oportunidade!,0
O prazo para a entrega é sexta-feira,0
Você recebeu a documentação correta?,0
O pagamento foi processado com sucesso,0
"Recebi a mensagem, obrigado!",0
Os testes foram concluídos ontem,0
O sistema está funcionando conforme esperado,0
